Lipid,Group
AC(10:0),AC
AC(12:0)a,AC
AC(12:0)b,AC
AC(12:1),AC
AC(14:0)a,AC
AC(14:0)b,AC
AC(14:1),AC
AC(14:2),AC
AC(16:0),AC
AC(18:0),AC
AC(18:1)a,AC
AC(18:1)b,AC
AC(18:2),AC
AC(24:0),AC
AC(26:0),AC
CE(18:1),CE
CE(18:2),CE
CE(20:3),CE
CE(22:6),CE
Cer(d16:1/23:0)a,Cer
Cer(d16:1/23:0)b,Cer
Cer(d16:1/24:0);Cer(d18:1/22:0),Cer
Cer(d16:1/24:1);Cer(d18:2/22:0),Cer
Cer(d18:0/22:0),Cer
Cer(d18:1/16:0),Cer
Cer(d18:1/18:0),Cer
Cer(d18:1/20:0)a,Cer
Cer(d18:1/20:0)b,Cer
Cer(d18:1/23:0)a,Cer
Cer(d18:1/23:0)b,Cer
Cer(d18:1/24:0)a,Cer
Cer(d18:1/24:0)b,Cer
Cer(d18:1/24:1)a,Cer
Cer(d18:1/24:1)b,Cer
Cer(d18:1/25:0)a,Cer
Cer(d18:1/25:0)b,Cer
Cer(d18:2/16:0),Cer
Cer(d18:2/20:0),Cer
Cer(d18:2/24:0),Cer
Cer(d18:2/24:1);Cer(d18:1/24:2),Cer
Cer(t18:0/16:0)a,Cer
Cer(t18:0/16:0)b,Cer
Cer(t18:0/16:0)c,Cer
DG(16:0_18:1),DG
DG(16:1_18:1),DG
DG(17:0_20:0),DG
DG(18:0_18:1);DG(16:0_20:1),DG
DG(18:0_18:2),DG
DG(18:0_20:3),DG
DG(18:1_18:1),DG
DG(18:1_18:2);DG(16:0_20:3),DG
DG(18:2_18:3),DG
DGDG(16:0_16:0),DGDG
DGDG(16:0_20:1);DGDG(18:0_18:1),DGDG
DGDG(16:0_20:3)a,DGDG
DGDG(16:0_20:3)b,DGDG
DGDG(16:1_18:0);DGDG(15:0_19:1),DGDG
DGDG(17:0_17:0),DGDG
DGDG(17:0_17:2),DGDG
DGDG(17:0_17:3),DGDG
DGDG(18:0_18:2);DGDG(18:1_18:1);DGDG(16:0_20:2),DGDG
DGDG(18:0_18:3)a,DGDG
DGDG(18:0_18:3)b,DGDG
FA 13:0,FA
FA 15:0a,FA
FA 15:0b,FA
FA 16:1,FA
FA 16:2,FA
FA 17:0a,FA
FA 17:0b,FA
FA 17:1a,FA
FA 17:1b,FA
FA 17:2,FA
FA 18:3,FA
FA 19:0a,FA
FA 19:0b,FA
FA 19:1a,FA
FA 19:1b,FA
FA 19:3,FA
FA 20:0a,FA
FA 20:3a,FA
FA 20:3b,FA
FA 20:4,FA
FA 21:0a,FA
FA 22:0,FA
FA 22:1,FA
FA 22:2,FA
FA 22:3a,FA
FA 22:3b,FA
FA 22:4,FA
FA 22:5,FA
FA 22:6,FA
FA 23:0,FA
FA 24:0,FA
FA 24:1,FA
FA 25:0,FA
FA 26:0,FA
FAHFA(14:0/O-16:2),FAHFA
FAHFA(16:0/O-18:2),FAHFA
FAHFA(17:0/O-19:2),FAHFA
GM3(d18:1/16:0),GM3
GM3(d18:1/18:0),GM3
GM3(d18:1/22:0),GM3
GM3(d18:1/24:0),GM3
HexCer(d18:1/22:0)a,HexCer
HexCer(d18:1/22:0)b,HexCer
HexCer(d18:1/23:0)a,HexCer
HexCer(d18:1/23:0)b,HexCer
HexCer(d18:1/24:0),HexCer
HexCer(d18:1/24:1),HexCer
HexCer(d18:2/22:0)a,HexCer
HexCer(d18:2/22:0)b,HexCer
HexCer(d18:2/24:1),HexCer
LPC(0:0/14:0),LPC
LPC(0:0/15:0),LPC
LPC(0:0/16:0),LPC
LPC(0:0/16:1),LPC
LPC(0:0/17:0),LPC
LPC(0:0/18:0),LPC
LPC(0:0/18:1),LPC
LPC(0:0/18:2),LPC
LPC(0:0/18:3),LPC
LPC(0:0/20:3),LPC
LPC(0:0/20:4),LPC
LPC(0:0/22:6),LPC
LPC(14:0/0:0),LPC
LPC(15:0/0:0),LPC
LPC(16:0/0:0),LPC
LPC(16:1/0:0),LPC
LPC(17:0/0:0),LPC
LPC(18:0/0:0),LPC
LPC(18:1/0:0),LPC
LPC(18:2/0:0),LPC
LPC(18:3/0:0),LPC
LPC(20:0_0:0),LPC
LPC(20:2_0:0),LPC
LPC(20:3/0:0),LPC
LPC(20:4/0:0),LPC
LPC(22:5_0:0),LPC
LPC(22:6/0:0),LPC
LPE(0:0/16:0),LPE
LPE(0:0/18:0),LPE
LPE(0:0/18:1),LPE
LPE(0:0/18:2),LPE
LPE(0:0/20:3),LPE
LPE(0:0/20:4),LPE
LPE(16:0/0:0),LPE
LPE(18:0/0:0),LPE
